code,industry_code,industry_sub_code,is_main,desc,industry_sub_name,num,industry_name,nk225,nk225hdy,nk225de,nk225ge,jpxnkms,nkcrs50,date,name,category,industry33code,industry33category,industry17code,industry17category,sizecode,sizecategory
6820,34,201,true,【無線通信機器大手】アマチュア、業務用に幅広く展開。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,アイコム,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6736,34,201,true,【パチンコ制御基板】ゲームソフト開発やモバイル機器製造も。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,サン電子,JASDAQ(スタンダード・内国株）,3650,電気機器,9,電機・精密 ,0,
6718,34,201,true,【インターホン首位】住宅用テレビドアホン主力。ケア市場も強化。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,アイホン,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6904,34,201,true,【自動車アンテナ製造】中継コードなど付帯機器の製造販売も。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,原田工業,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6930,34,201,true,【アンテナ大手】通信・放送用アンテナ、電波障害対策工事の大手。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本アンテナ,JASDAQ(スタンダード・内国株）,3650,電気機器,9,電機・精密 ,0,
6815,34,201,true,【コードレス電話大手】販売は米国、生産は中国が中心。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ユニデンホールディングス,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6675,34,201,true,【電話機大手】IPビジネスホンとセキュリティーの融合で展開。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,サクサホールディングス,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6835,34,201,true,【ネットワーク機器専門メーカー】スイッチやルーターを展開。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,アライドテレシスホールディングス,市場第二部（内国株）,3650,電気機器,9,電機・精密 ,0,
6704,34,201,true,【固定電話大手】通信機器の中堅。計測器、製版システムも展開。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,岩崎通信機,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
6715,34,201,true,【電話装置、交換機中堅】ネット関連端末機器を展開。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ナカヨ,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
3807,34,201,true,【金融情報サービス】大手ベンダー向け中心に独自情報を配信。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,フィスコ,JASDAQ(グロース・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,0,
6838,34,201,true,【回路素子・計測機器の開発・製造】無線通信向け主力。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,多摩川ホールディングス,JASDAQ(スタンダード・内国株）,3650,電気機器,9,電機・精密 ,0,
6696,34,201,true,【情報機器の製造販売】ＳＴＢが主力。ウエアラブル端末も。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,トランザス,マザーズ（内国株）,3650,電気機器,9,電機・精密 ,0,
6946,34,201,true,【防衛・産業用機器メーカー】NEC系。情報システム機器強い。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本アビオニクス,市場第二部（内国株）,3650,電気機器,9,電機・精密 ,0,
6634,34,201,true,【無線通信機器開発】フィスコ傘下のファブレス企業。,通信・ネットワーク機器,19,情報機器・通信機器,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ネクスグループ,JASDAQ(スタンダード・内国株）,3650,電気機器,9,電機・精密 ,0,
